Sheet Name :-,Win-Loss,Points/Game,Avg Scoring Margin,Yards/Point,Yards/Point Margin,Points/Play,Avg Scoring Margin,Yards/Point,Yards/Point Margin,Points/Play,Points/Play Margin,Red Zone Scoring Attempts/Game, Red Zone Scores/Game(TDs and FGs),Red Zone Scoring Percentage(TDs and FGs),Offensive Touchdowns/Game,Offensive Points/Game (Estimated),Offensive Point Share Percentage (Estimated),1st Quarter Points/Game,2nd Quarter Points/Game,3rd Quarter Points/Game,4th Quarter Points/Game,Overtime Points/Game,1st Half Points/Game,2nd Half Points/Game,1st Quarter Time of Possession Share %,2nd Quarter Time of Possession Share %,3rd Quarter Time of Possession Share %,4th Quarter Time of Possession Share %,1st Half Time of Possession Share %,2nd Half Time of Possession Share %,Yards/Game,Plays per Game,Yards per Play,Third Downs per Game,Third Down Conversions per Game,Fourth Downs per Game,Fourth Down Conversions per Game,Average Time of Possession (Excluding OT),Time of Possession Percentage (Excluding OT),Seconds per Play,Third Down Conversion Percentage,Fourth Down Conversion Percentage,Punts per Play,Punts per Offensive Score,Rushing Attempts per Game,Rushing Yards per Game,Yards per Rush Attempt,Rushing Play Percentage,Rushing Yards Percentage,Pass Attempts per Game,Completions per Game,Incompletions per Game,Completion Percentage,Passing Yards per Game,QB Sacked per Game,QB Sacked Percentage,Average Team Passer Rating,Passing Play Percentage,Passing Yards Percentage,Yards per Pass Attempt,Yards per Completion,Field Goal Attempts per Game,Field Goals Made per Game,Field Goal Conversion Percentage,Punt Attempts per Game,Gross Punt Yards per Game,Opponent Points per Game,Opp Yards per Point,Opponent Points per Play,Opponent Average Scoring Margin,Opponent Red Zone Scoring Attempts per Game,Opponent Red Zone Scoring Percentage (TDs & FGs),Opponent Points per Field Goal Attempt,Opponent Offensive Touchdowns per Game,Opponent Offensive Points per Game (Estimated),Opp 1st Quarter Points/Game,Opp 2nd Quarter Points/Game,Opp 3rd Quarter Points/Game,Opp 4th Quarter Points/Game,Opp Overtime Points/Game,Opponent 1st Half Points/Game,Opponent 2nd Half Points/Game,Opponent Yards per Game,Opponent Plays per Game,Opponent Yards per Play,Opponent First Downs per Game,Opponent Third Downs per Game,Opponent Third Down Conversions per Game,Opponent Fourth Downs per Game,Opponent Fourth Down Conversions per Game,Opponent Average Time of Possession (Excluding OT),Opponent Time of Possession Percentage (Excluding OT),Opponent Seconds per Play,Opponent Third Down Conversion Percentage,Opponent Fourth Down Conversion Percentage,Opponent Punts per Play,Opponent Punts per Offensive Score,Opponent Rushing Attempts per Game,Opponent Rushing Yards per Game,Opponent Rushing First Downs per Game,Opponent Yards per Rush Attempt,Opponent Rushing Play Percentage,Opponent Rushing Yards Percentage,Opponent Pass Attempts per Game,Opponent Completions per Game,Opponent Incompletions per Game,Opponent Completion Percentage,Opponent Passing Yards per Game,Opponent Passing First Downs per Game,Opponent Average Team Passer Rating,Sack Percentage,Opponent Passing Play Percentage,Opponent Passing Yards Percentage,Sacks per Game,Opponent Yards per Pass Attempt,Opponent Yards per Completion,Opponent Field Goal Attempts per Game,Opponent Field Goals Made per Game,Opponent Punt Attempts per Game,Opponent Gross Punt Yards per Game,Interceptions Thrown per Game,Fumbles per Game,Fumbles Lost per Game,Fumbles Not Lost per Game,Giveaways per Game,Turnover Margin per Game,Interceptions per Game,Opponent Fumbles per Game,Opponent Fumbles Lost per Game,Opponent Fumbles Not Lost per Game,Takeaways per Game,Opponent Turnover Margin per Game,Interceptions Thrown Percentage,Fumble Recovery Percentage,Giveaway Fumble Recovery Percentage,Takeaway Fumble Recovery Percentage,Opponent Interceptions Thrown Percentage,Opponent Fumble Recovery Percentage,Opponent Giveaway Fumble Recovery Percentage,Opponent Takeaway Fumble Recovery Percentage,Penalties per Game,Penalty Yards per Game,Penalty First Downs per Game,Opponent Penalties per Game,Opponent Penalty Yards per Game,Opponent Penalty First Downs per Game,Penalty Yards per Penalty,Penalties per Play,Opponent Penalty Yards per Penalty,Opponent Penalties per Play
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2-0-0,52.5,+44.5,9.5,18.9,0.766,+44.5,9.5,18.9,0.766,0.663,4.5,3.5,0.7778,7.5,52.5,1,14,14,7,17.5,0,28,24.5,0.4594,0.4011,0.6139,0.5856,0.4303,0.5997,496.5,68.5,7.2,13,6.5,0.5,0.5,1.2875,0.515,27.1,0.5,1,0.07,0.7,44,264,6,0.6423,0.5317,22.5,14.5,8,0.6444,232.5,2,0.0816,187.9,0.3577,0.4683,10.3,16,0,0,--,5,226,8,28.4,0.104,-44.5,3,0.6667,1.8,0.5,8,1.5,1.5,3.5,1.5,0,3,5,227,77,2.9,15.5,18,2.5,2.5,1,1.2125,0.485,22.7,0.1389,0.4,0.12,4.5,36.5,124,7,3.4,0.474,0.5463,38,19,19,0.5,103,6,67.5,0.0617,0.526,0.4537,2.5,2.7,5.4,2.5,1.5,9,400,0,3,2,1,2,-1,1,0.5,0,0.5,1,+1.0,0,0.2857,0.3333,0,0.0263,0.7143,1,0.6667,10,89.5,3,7.5,66,2.5,9,0.07,8.8,0.05
Arizona,2-0-0,61,+22.0,10.3,1.8,1.07,+22.0,10.3,1.8,1.07,0.583,2,2,1,8,62,1,14,13,21,13,0,27,34,0.2989,0.4733,0.4278,0.4689,0.3861,0.4483,627,57,11,12,8,1,1,1.043055556,0.4172,26.4,0.6667,1,0.02,0.1,26,205,7.9,0.4561,0.327,31,19,12,0.6129,422,0,0,211.8,0.5439,0.673,13.6,22.2,2,2,1,1,48,39,12.1,0.488,-22,6,1,3,5,38,14,10,7,8,0,24,15,471,80,5.9,30,13,6,2,2,1.456944444,0.5828,26.2,0.4615,1,0.05,0.7,38,211,11,5.6,0.475,0.448,42,24,18,0.5714,260,15,123.2,0,0.525,0.552,0,6.2,10.8,1,1,4,166,1,2,1,1,2,0,2,0,0,0,2,0,0.0323,0.5,0.5,--,0.0476,0.5,--,0.5,9,100,1,8,65,4,11.1,0.07,8.1,0.06
BYU,2-0-0,18,+3.0,18.7,-1.3,0.277,+3.0,18.7,-1.3,0.277,0.077,3,3,1,2,17,1,7,0,8,3,0,7,11,0.4433,0.43,0.5533,0.6322,0.4367,0.5928,336,65,5.2,13,2,3,2,1.286805556,0.5147,28.5,0.1538,0.6667,0.09,2,35,134,3.8,0.5385,0.3988,29,15,14,0.5172,202,1,0.0333,107.8,0.4615,0.6012,7,13.5,2,1,0.5,6,247,15,17.4,0.2,-3,5,0.4,3,0,15,0,9,3,3,0,9,6,261,75,3.5,18,16,3,4,2,1.213194444,0.4853,23.3,0.1875,0.5,0.05,0.8,36,117,8,3.3,0.48,0.4483,36,17,19,0.4722,144,9,75.3,0.0769,0.52,0.5517,3,4,8.5,5,5,4,193,2,2,1,1,3,0,1,2,2,0,3,0,0.069,0.75,0.5,1,0.0278,0.25,0,0.5,5,45,1,7,69,1,9,0.04,9.9,0.05
California,2-0-0,21,+7.0,15.8,4.6,0.292,+7.0,15.8,4.6,0.292,0.058,3,2,0.6667,3,21,1,7,7,0,7,0,14,7,0.6233,0.7456,0.4167,0.5656,0.6844,0.4911,332,72,4.6,19,10,0,0,1.469444444,0.5878,29.4,0.5263,--,0.1,2.3,34,99,2.9,0.4722,0.2982,36,25,11,0.6944,233,2,0.0526,142.1,0.5278,0.7018,6.5,9.3,2,0,0,7,326,14,20.4,0.233,-7,2,1,0,2,14,7,0,0,7,0,7,7,286,60,4.8,16,10,5,1,0,1.030555556,0.4122,24.7,0.5,0,0.07,2,30,121,5,4,0.5,0.4231,27,14,13,0.5185,165,7,115.4,0.1,0.5,0.5769,3,6.1,11.8,1,0,4,180,0,0,0,0,0,+1.0,0,3,1,2,1,-1,0,0.3333,--,0.3333,0,0.6667,0.6667,--,11,77,1,6,46,4,7,0.08,7.7,0.05
Duke,2-0-0,26,+6.0,13.2,1.3,0.361,+6.0,13.2,1.3,0.361,0.091,4,3,0.75,3,27,1,7,0,3,3,13,7,6,0.4711,0.3011,0.5424,0.6022,0.3861,0.5724,342,72,4.8,15,4,1,0,1.199305556,0.4791,24,0.2667,0,0.08,1.2,30,93,3.1,0.4167,0.2719,40,25,15,0.625,249,2,0.0476,134.5,0.5833,0.7281,6.2,10,3,2,0.6667,6,280,20,14.5,0.27,-6,5,0.6,2,2,20,3,7,0,3,7,10,3,290,74,3.9,19,16,3,1,0,1.300694444,0.5209,25.3,0.1875,0,0.09,1.8,38,132,7,3.5,0.5135,0.4552,36,20,16,0.5556,158,10,86.9,0,0.4865,0.5448,0,4.4,7.9,3,2,7,270,1,1,1,0,2,0,1,1,1,0,2,0,0.025,0.5,0,1,0.0278,0.5,0,1,9,80,1,7,57,2,8.9,0.06,8.1,0.05
Georgia,2-0-0,34,+31.0,13.1,49.5,0.557,+31.0,13.1,49.5,0.557,0.502,4,4,1,4,34,1,0,6,14,14,0,6,28,0.4278,0.7644,0.4922,0.4956,0.5961,0.4939,447,61,7.3,11,4,0,0,1.3625,0.545,32.2,0.3636,--,0.07,0.7,27,169,6.3,0.4426,0.3781,33,23,10,0.697,278,1,0.0294,160.5,0.5574,0.6219,8.4,12.1,2,2,1,4,192,3,62.7,0.056,-31,2,0.5,3,0,3,0,0,3,0,0,0,3,188,54,3.5,13,13,4,1,0,1.1375,0.455,30.3,0.3077,0,0.13,7,23,46,4,2,0.4259,0.2447,29,18,11,0.6207,142,6,96.3,0.0645,0.5741,0.7553,2,4.9,7.9,1,1,7,302,0,0,0,0,0,+1.0,1,0,0,0,1,-1,0,--,--,--,0.0345,--,--,--,7,70,0,3,15,3,10,0.06,5,0.03
Illinois,2-0-0,23,+6.0,11.8,7.5,0.377,+6.0,11.8,7.5,0.377,0.119,3,3,1,1,16,0.696,3,10,0,10,0,13,10,0.5056,0.4556,0.3433,0.7378,0.4806,0.5406,271,61,4.4,15,6,1,1,1.276388889,0.5106,30.1,0.4,1,0.07,0.8,34,79,2.3,0.5574,0.2915,25,16,9,0.64,192,2,0.0741,128.5,0.4426,0.7085,7.7,12,3,3,1,4,194,17,19.2,0.258,-6,3,1,3,2,17,0,10,7,0,0,10,7,327,66,5,18,13,6,2,1,1.223611111,0.4894,26.7,0.4615,0.5,0.03,0.7,33,186,10,5.6,0.5,0.5688,32,18,14,0.5625,141,7,95.1,0.0303,0.5,0.4312,1,4.4,7.8,1,1,2,109,0,1,1,0,1,+3.0,3,2,1,1,4,-3,0,0.3333,0,0.5,0.0938,0.6667,0.5,1,2,20,0,2,25,1,10,0.02,12.5,0.02
Indiana,2-0-0,31,+24.0,13.4,12.6,0.463,+24.0,13.4,12.6,0.463,0.352,4,4,1,4,31,1,14,7,3,7,0,21,10,0.5833,0.5922,0.6867,0.3156,0.5878,0.5011,414,67,6.2,10,4,2,1,1.361111111,0.5444,29.3,0.4,0.5,0.04,0.6,40,234,5.9,0.597,0.5652,25,15,10,0.6,180,2,0.0741,133.7,0.403,0.4348,7.2,12,1,1,1,3,129,7,26,0.111,-24,1,1,--,1,7,0,7,0,0,0,7,0,182,63,2.9,13,13,4,4,1,1.138888889,0.4556,26,0.3077,0.25,0.08,5,30,53,5,1.8,0.4762,0.2912,29,20,9,0.6897,129,7,110.8,0.1212,0.5238,0.7088,4,4.4,6.5,0,0,5,228,0,3,0,3,0,+1.0,1,2,0,2,1,-1,0,0.6,1,0,0.0345,0.4,1,0,9,80,0,3,25,1,8.9,0.07,8.3,0.02
Liberty,2-0-0,30,+6.0,15.8,-4.3,0.455,+6.0,15.8,-4.3,0.455,0.112,4,3,0.75,2,23,0.767,3,6,0,21,0,9,21,0.51,0.5089,0.4744,0.4356,0.5094,0.455,473,66,7.2,11,1,2,1,1.205555556,0.4822,26.3,0.0909,0.5,0.08,0.8,35,217,6.2,0.5303,0.4588,29,16,13,0.5517,256,2,0.0645,129.3,0.4697,0.5412,8.8,16,4,3,0.75,5,220,24,11.5,0.343,-6,3,1,3,3,24,10,7,0,7,0,17,7,275,70,3.9,18,15,3,2,1,1.294444444,0.5178,26.6,0.2,0.5,0.1,1.8,44,117,6,2.7,0.6286,0.4255,22,9,13,0.4091,158,6,131.2,0.1538,0.3714,0.5745,4,7.2,17.6,1,1,7,302,0,0,0,0,0,+1.0,0,1,1,0,1,-1,0,1,--,1,0,0,0,--,11,122,1,9,58,6,11.1,0.08,6.4,0.07
Louisiana,2-0-0,34,+24.0,13.4,7,0.607,+24.0,13.4,7,0.607,0.407,7,6,0.8571,4,34,1,0,20,14,0,0,20,14,0.4211,0.51,0.7067,0.5,0.4656,0.6033,455,56,8.1,9,4,2,2,1.336111111,0.5344,34.4,0.4444,1,0.02,0.2,35,258,7.4,0.625,0.567,21,17,4,0.8095,197,0,0,175.5,0.375,0.433,9.4,11.6,2,2,1,1,40,10,20.4,0.2,-24,2,1,3,1,10,7,0,0,3,0,7,3,204,50,4.1,12,12,4,2,2,1.163888889,0.4656,33.5,0.3333,1,0.08,2,37,111,6,3,0.74,0.5441,13,7,6,0.5385,93,5,113.9,0,0.26,0.4559,0,7.2,13.3,1,1,4,172,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,--,--,--,5,45,1,4,35,1,9,0.05,8.8,0.04
